song id,genre id,song title,song artist,uri
64,1,Wrapped in Red,Kelly Clarkson,https://p.scdn.co/mp3-preview/d95ff15298361e02fd7635a3359b63f70a0b9ff0?cid=9950ac751e34487dbbe027c4fd7f8e99
65,1,Last Christmas,James TW,https://p.scdn.co/mp3-preview/74218db324c2b1d426fe6a62a7baa3d1fb2760d4?cid=9950ac751e34487dbbe027c4fd7f8e99
66,1,Silent Night,Mariah Carey,https://p.scdn.co/mp3-preview/3fd3a704d14abd0e672c6a4546c155a89bbdf860?cid=9950ac751e34487dbbe027c4fd7f8e99
67,1,Mistletoe and Holly,Frank Sinatra,
68,1,Fairytale of New York (feat. Kirsty MacColl),"The Pogues, Kirsty MacColl",https://p.scdn.co/mp3-preview/227469faf748b0adc16f8efa4e8029b3377a00d7?cid=9950ac751e34487dbbe027c4fd7f8e99
69,1,This Christmas,Donny Hathaway,https://p.scdn.co/mp3-preview/30880137fceaf60f94be00ed7e3c42c77647d545?cid=9950ac751e34487dbbe027c4fd7f8e99
70,1,The Christmas Song (Chestnuts Roasting On An Open Fire),"Justin Bieber, Usher",
71,1,Santa's Coming for Us,Sia,
72,1,The Christmas Song (Shawn Mendes & Camila Cabello),"Shawn Mendes, Camila Cabello",https://p.scdn.co/mp3-preview/9d48ffdcb5d152adef705bfc04528b0b5cadc433?cid=9950ac751e34487dbbe027c4fd7f8e99
73,1,I Wish It Could Be Christmas Everyday,Wizzard,https://p.scdn.co/mp3-preview/f8c6a2cbf27097613215e3686356dba99d70ba6a?cid=9950ac751e34487dbbe027c4fd7f8e99
74,1,Take Me Home For Christmas,Dan + Shay,https://p.scdn.co/mp3-preview/a588e7d2337a780f4d637947eb5629e77b231374?cid=9950ac751e34487dbbe027c4fd7f8e99
75,1,Christmas Tree Farm,Taylor Swift,https://p.scdn.co/mp3-preview/b39daaf7f3a7753c77f5977214c21944cbc09d2f?cid=9950ac751e34487dbbe027c4fd7f8e99
76,1,Rudolph The Red-Nosed Reindeer,Burl Ives,https://p.scdn.co/mp3-preview/5dc72696f13f29c84a36851f160defe2483ea53a?cid=9950ac751e34487dbbe027c4fd7f8e99
77,1,Christmas Lights,Coldplay,https://p.scdn.co/mp3-preview/b9d27a4e915bb75611468e3a39dfb9dd025413b0?cid=9950ac751e34487dbbe027c4fd7f8e99
78,1,"Mary, Did You Know?",Pentatonix,https://p.scdn.co/mp3-preview/df2d7900cdfc92f88d60a9c7e105d1a11b3190a1?cid=9950ac751e34487dbbe027c4fd7f8e99
79,1,Christmas Without You,Ava Max,https://p.scdn.co/mp3-preview/735a1d93a0e7af96da46d5e939d2ec84dc70cb11?cid=9950ac751e34487dbbe027c4fd7f8e99
80,1,Please Come Home for Christmas - 2013 Remaster,Eagles,https://p.scdn.co/mp3-preview/99c098c78ce00cdb212edc1bc89ca197160b869d?cid=9950ac751e34487dbbe027c4fd7f8e99
81,1,O Holy Night,Mariah Carey,
82,1,Happy Xmas (War Is Over),Céline Dion,
83,1,Christmas Love,Justin Bieber,
84,1,Under The Mistletoe,"Kelly Clarkson, Brett Eldredge, Atlantic Holiday",https://p.scdn.co/mp3-preview/1f11e0cff179bf44035f60eee57d433d72ecc508?cid=9950ac751e34487dbbe027c4fd7f8e99
85,1,Blue Christmas,Elvis Presley,https://p.scdn.co/mp3-preview/84537958871a6331b34cd88f0f2c0c5f335d7bca?cid=9950ac751e34487dbbe027c4fd7f8e99
86,1,Make It To Christmas,Alessia Cara,https://p.scdn.co/mp3-preview/32cde2afa365873f84621234a3543cfef7245771?cid=9950ac751e34487dbbe027c4fd7f8e99
87,1,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),"Mariah Carey, Ariana Grande, Jennifer Hudson",https://p.scdn.co/mp3-preview/32e41668572bb5e9a88e9c30f4acd6d0151092fb?cid=9950ac751e34487dbbe027c4fd7f8e99
88,1,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,https://p.scdn.co/mp3-preview/2de89850c6b9a50c7583a561db0b5247533cf21f?cid=9950ac751e34487dbbe027c4fd7f8e99
89,1,Man With The Bag,Jessie J,
90,1,My Kind Of Present,Meghan Trainor,https://p.scdn.co/mp3-preview/9c670d9d2d0c8378cc4f8ca4ebf7928f897af0f3?cid=9950ac751e34487dbbe027c4fd7f8e99
91,1,Mistletoe and Wine,Cliff Richard,https://p.scdn.co/mp3-preview/5b035a1f3ca8f6d59169cfce068387ab59bc6350?cid=9950ac751e34487dbbe027c4fd7f8e99
92,1,Let It Snow (with Babyface),"Tori Kelly, Babyface",https://p.scdn.co/mp3-preview/2ed49db79270f109869eb009d8de9a0b616e64e7?cid=9950ac751e34487dbbe027c4fd7f8e99
93,1,Lonely This Christmas,Mud,https://p.scdn.co/mp3-preview/bc8cb982ce63895050f76776c9eb2e305c421d5c?cid=9950ac751e34487dbbe027c4fd7f8e99
94,1,Rockin' Around The Christmas Tree,Mel & Kim,https://p.scdn.co/mp3-preview/0a3d3c5430e8a5f41c79ce44f1e18c2139c53e6b?cid=9950ac751e34487dbbe027c4fd7f8e99
95,1,"Oh Holy Night - Recorded at Metropolis Studios, London",Nina Nesbitt,https://p.scdn.co/mp3-preview/d07f90af391da01f8a21b6496f2da910d492b6fc?cid=9950ac751e34487dbbe027c4fd7f8e99
96,1,Someday At Christmas,Stevie Wonder,https://p.scdn.co/mp3-preview/59f82d2696eac150502f6fd068d6d9037910aef8?cid=9950ac751e34487dbbe027c4fd7f8e99
97,1,All I Want (For Christmas),Liam Payne,https://p.scdn.co/mp3-preview/d646c198f6d5ed293ed9f959a27e7351cbb54f2e?cid=9950ac751e34487dbbe027c4fd7f8e99
98,1,Have Yourself a Merry Little Christmas,Christina Aguilera,https://p.scdn.co/mp3-preview/ad0985109658d6693d33d395ea1fe32bfc7a866e?cid=9950ac751e34487dbbe027c4fd7f8e99
99,1,"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",George Ezra,https://p.scdn.co/mp3-preview/813a57756c651d37c3f319734594280048e5c1b6?cid=9950ac751e34487dbbe027c4fd7f8e99
100,1,The First Noël (with Faith Hill),"Josh Groban, Faith Hill",https://p.scdn.co/mp3-preview/78246ab13a56e693789c126854adfd27ceafaa8d?cid=9950ac751e34487dbbe027c4fd7f8e99
101,1,It's Christmas,Jamie Cullum,https://p.scdn.co/mp3-preview/8aec043ad6713f3ca6b291f00da618e23ddbc6c3?cid=9950ac751e34487dbbe027c4fd7f8e99
102,1,Winter Things,Ariana Grande,https://p.scdn.co/mp3-preview/3501bc78f2f3e81d69db35acd5cb3f311dca862b?cid=9950ac751e34487dbbe027c4fd7f8e99
103,1,Christmas Time,Backstreet Boys,
104,1,I Need You Christmas,Jonas Brothers,https://p.scdn.co/mp3-preview/ddf66761d24436b79d2ec2108b734ec3cd61e1e6?cid=9950ac751e34487dbbe027c4fd7f8e99
105,1,Grown-Up Christmas List,Jordan Smith,https://p.scdn.co/mp3-preview/53f0f482cb4a049c9a84c480aeae5cf5812b2b7d?cid=9950ac751e34487dbbe027c4fd7f8e99
106,1,It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,Norah Jones,https://p.scdn.co/mp3-preview/3154a901a98fbd0021faf92db9f69dde482b3d9b?cid=9950ac751e34487dbbe027c4fd7f8e99
107,1,Merry Christmas Baby,Otis Redding,https://p.scdn.co/mp3-preview/b520951f6759a904da185d61dd15a29dee245ad7?cid=9950ac751e34487dbbe027c4fd7f8e99
